[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --END-- [ RunTime:0.002988s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --START--
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003924s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Run CheckLang Behavior [ RunTime:0.005468s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009860s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: member_type MemberAction.class.php 第 13 行.
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: keywords MemberAction.class.php 第 18 行.
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | SQL: SHOW COLUMNS FROM `lj_member` [ RunTime:0.005189s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | SQL: SELECT COUNT(id) AS tp_count FROM `lj_member` LIMIT 1   [ RunTime:0.001133s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: page MemberAction.class.php 第 48 行.
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: list MemberAction.class.php 第 49 行.
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --START--
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Run LocationTemplate Behavior [ RunTime:0.005005s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --END-- [ RunTime:0.005092s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --START--
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: first bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 54 行.
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: category bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 296 行.
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Run ParseTemplate Behavior [ RunTime:0.033308s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033389s ]
