[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Run ParseTemplate Behavior [ RunTime:0.024930s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025019s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Run ContentReplace Behavior [ RunTime:0.001682s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Run TokenBuild Behavior [ RunTime:0.002040s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002616s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Run ShowRuntime Behavior [ RunTime:0.001710s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008389s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --START--
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Run ShowPageTrace Behavior [ RunTime:0.002098s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --END-- [ RunTime:0.002241s ]
[ 2014-10-23T16:04:57+08:00 ] /Public/Images/icon_search.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T16:04:57+08:00 ] /Public/Images/th_bg.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T16:04:57+08:00 ] /Public/Images/loading2.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T16:04:57+08:00 ] /Public/Images/icon_add.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T17:00:57+08:00 ] /Admin/Financial | ERR: (ThinkException) 无法加载模块Financial
[ 2014-10-23T17:01:01+08:00 ] /Admin/Goods | ERR: (ThinkException) 无法加载模块Goods
[ 2014-10-23T17:01:02+08:00 ] /Admin/Order | ERR: (ThinkException) 无法加载模块Order
[ 2014-10-23T17:01:04+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --START--
[ 2014-10-23T17:01:04+08:00 ] /Admin/Member | INFO: Run CheckRoute Behavior [ RunTime:0.001705s ]
[ 2014-10-23T17:01:04+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --END-- [ RunTime:0.001825s ]
